co-founder1,co-founder2,organization name,country,google_search_query_founder1,google_search_query_founder2,co-founder1 linkedin profile,co-founder2 linkedin profile,co-founder1 cv,co-founder2 cv
Hady Bsat,,Drapp,Lebanon,site:linkedin.com/in Hady Bsat Drapp Lebanon,,https://lb.linkedin.com/in/hadybsat,,,
Greg Melkonian,,"Dohirus, Inc.",Lebanon,"site:linkedin.com/in Greg Melkonian Dohirus, Inc. Lebanon",,,,,
mohamed aziz ben mahmoud,,SamRise,Tunisia,site:linkedin.com/in mohamed aziz ben mahmoud SamRise Tunisia,,https://tn.linkedin.com/in/aziz-ben-mahmoud-328b2b203,,,
Saad Seddiq,,UBlac,Jordan,site:linkedin.com/in Saad Seddiq UBlac Jordan,,https://jo.linkedin.com/in/saadseddiq,,,
Fred Hatem,Nicolas Jamal,dox,Lebanon,site:linkedin.com/in Fred Hatem dox Lebanon,site:linkedin.com/in Nicolas Jamal dox Lebanon,https://www.linkedin.com/in/fred-hatem/,,,
Mohamed amine Belkahla,Mouadh Mkadmi,Ferid Around The World,Tunisia,site:linkedin.com/in Mohamed amine Belkahla Ferid Around The World Tunisia,site:linkedin.com/in Mouadh Mkadmi Ferid Around The World Tunisia,https://tn.linkedin.com/in/bekmedamine,,,
Khaled Husseini,Nadia Husseini,Metaphorio,Jordan,site:linkedin.com/in Khaled Husseini Metaphorio Jordan,site:linkedin.com/in Nadia Husseini Metaphorio Jordan,,https://jo.linkedin.com/in/nadiahusseini,,
Hamza Jilani,Maher Jilani,StartupNow,Jordan,site:linkedin.com/in Hamza Jilani StartupNow Jordan,site:linkedin.com/in Maher Jilani StartupNow Jordan,,,,
Amjad Al-Zabin,Hashim Hasan,Carseer,Jordan,site:linkedin.com/in Amjad Al-Zabin Carseer Jordan,site:linkedin.com/in Hashim Hasan Carseer Jordan,https://jo.linkedin.com/in/amjad-al-zabin-b5487596,,,
Adel Jenni,,Insight Plus,Tunisia,site:linkedin.com/in Adel Jenni Insight Plus Tunisia,,,,,
Saif Barhoum,,Creative Concepts Industries,Jordan,site:linkedin.com/in Saif Barhoum Creative Concepts Industries Jordan,,https://jo.linkedin.com/in/doha-hussein-7a8b73189,,,
Karim Safieddine,Maroun Najm,Cinemoz,Lebanon,site:linkedin.com/in Karim Safieddine Cinemoz Lebanon,site:linkedin.com/in Maroun Najm Cinemoz Lebanon,https://www.linkedin.com/in/karim-safieddine-21b84055/,,,
Amjad khalil,Monther Fadel,DARBCO,Jordan,site:linkedin.com/in Amjad khalil DARBCO Jordan,site:linkedin.com/in Monther Fadel DARBCO Jordan,https://www.linkedin.com/in/amjad-k-khalil,,,
Mohamad Nabaa,Ralph Khairallah,Carpolo,Lebanon,site:linkedin.com/in Mohamad Nabaa Carpolo Lebanon,site:linkedin.com/in Ralph Khairallah Carpolo Lebanon,,https://lb.linkedin.com/in/ralphkh,,
Bechir Afifi,,FabSkill,Tunisia,site:linkedin.com/in Bechir Afifi FabSkill Tunisia,,https://tn.linkedin.com/in/bechir-afifi,,,
Louay Malas,,henlo,Bahrain,site:linkedin.com/in Louay Malas henlo Bahrain,,,,,
Mahmood Zeyad,Najma Ghuloom,Majra,Bahrain,site:linkedin.com/in Mahmood Zeyad Majra Bahrain,site:linkedin.com/in Najma Ghuloom Majra Bahrain,https://bh.linkedin.com/in/mahmoodzeyad,,,
SALEM AL HAJRI,SALEM ALHAJRI,"TOLLQA, Inc.",Qatar,"site:linkedin.com/in SALEM AL HAJRI TOLLQA, Inc. Qatar","site:linkedin.com/in SALEM ALHAJRI TOLLQA, Inc. Qatar",,,,
Laith Zraikat,Omar Koudsi,Jeeran,Jordan,site:linkedin.com/in Laith Zraikat Jeeran Jordan,site:linkedin.com/in Omar Koudsi Jeeran Jordan,https://ae.linkedin.com/in/laithz,,,
Hussain Abdulla,Yunus Saiyed,FALCON,Qatar,site:linkedin.com/in Hussain Abdulla FALCON Qatar,site:linkedin.com/in Yunus Saiyed FALCON Qatar,https://bh.linkedin.com/in/husain-abdulla-42a056231?trk=public_profile_browsemap,,,
Omar Dweik,Omar Rida,DigitaSport,Jordan,site:linkedin.com/in Omar Dweik DigitaSport Jordan,site:linkedin.com/in Omar Rida DigitaSport Jordan,https://jo.linkedin.com/in/omardweik7,,,
Faraj Abdulla,Fatima Al-Kuwari,Girnaas,Qatar,site:linkedin.com/in Faraj Abdulla Girnaas Qatar,site:linkedin.com/in Fatima Al-Kuwari Girnaas Qatar,,https://qa.linkedin.com/in/munera-al-dosari-78b41642,,
"Motasim Masalmeh, MD",,Telescope Media Group,Jordan,"site:linkedin.com/in Motasim Masalmeh, MD Telescope Media Group Jordan",,https://ae.linkedin.com/in/motasim-masalmeh,,,
skander amor,,Datavision,Tunisia,site:linkedin.com/in skander amor Datavision Tunisia,,,,,
Jad Joubran,Nader Dager,eTobb,Lebanon,site:linkedin.com/in Jad Joubran eTobb Lebanon,site:linkedin.com/in Nader Dager eTobb Lebanon,https://nl.linkedin.com/in/jadjoubran,,,
NAAMAN ANTOUN,,CHOCOLAK,Lebanon,site:linkedin.com/in NAAMAN ANTOUN CHOCOLAK Lebanon,,https://lb.linkedin.com/in/charbel-saad-8566531b6,,,
Hussein Sleiman,,Find A Nurse,Lebanon,site:linkedin.com/in Hussein Sleiman Find A Nurse Lebanon,,https://ca.linkedin.com/in/hussein-sleiman,,,
Ahmed Nawasrah,,DataKite,Jordan,site:linkedin.com/in Ahmed Nawasrah DataKite Jordan,,,,,
Marc Antoine Bou Nassif,Rabih Traboulsi,L'Atelier du Miel,Lebanon,site:linkedin.com/in Marc Antoine Bou Nassif L'Atelier du Miel Lebanon,site:linkedin.com/in Rabih Traboulsi L'Atelier du Miel Lebanon,,,,
Hanae Ayoubi,Mousa Ayoubi,Harir,Jordan,site:linkedin.com/in Hanae Ayoubi Harir Jordan,site:linkedin.com/in Mousa Ayoubi Harir Jordan,,https://qa.linkedin.com/in/youmna-moussa-030737134,,
Jane Nassar,Karim Bacha,Sidelick,Lebanon,site:linkedin.com/in Jane Nassar Sidelick Lebanon,site:linkedin.com/in Karim Bacha Sidelick Lebanon,,,,
Jesus Alvarado,Jhony Leyva,Time Control Technologies,Bahrain,site:linkedin.com/in Jesus Alvarado Time Control Technologies Bahrain,site:linkedin.com/in Jhony Leyva Time Control Technologies Bahrain,,https://es.linkedin.com/in/elenagarc%C3%ADamart%C3%ADnez,,
Omar Sabella,,Travotech,Jordan,site:linkedin.com/in Omar Sabella Travotech Jordan,,,,,
Mohamad Fayez Taha,,happin!,Lebanon,site:linkedin.com/in Mohamad Fayez Taha happin! Lebanon,,,,,
Tojan Onallah,,Mecal Corporate,Jordan,site:linkedin.com/in Tojan Onallah Mecal Corporate Jordan,,,,,
Moufid Ben Hmida,Shady Achouri,Chantier.tn,Tunisia,site:linkedin.com/in Moufid Ben Hmida Chantier.tn Tunisia,site:linkedin.com/in Shady Achouri Chantier.tn Tunisia,,https://tn.linkedin.com/in/shadyachouri,,
Omar Aloyoun,,Brick2Click,Jordan,site:linkedin.com/in Omar Aloyoun Brick2Click Jordan,,https://jo.linkedin.com/in/mohammedabuain,,,
Khalid Jumaa,Sadek Shunnar,applixya,Jordan,site:linkedin.com/in Khalid Jumaa applixya Jordan,site:linkedin.com/in Sadek Shunnar applixya Jordan,,https://jo.linkedin.com/in/sadekshunnar,,
Lara Noujaim,Vanessa Zuabi,Mint Basil Market,Lebanon,site:linkedin.com/in Lara Noujaim Mint Basil Market Lebanon,site:linkedin.com/in Vanessa Zuabi Mint Basil Market Lebanon,,https://ae.linkedin.com/in/vanessazuabi,,
Fady Samy,Gasser Elagaimy,Event Developers,Qatar,site:linkedin.com/in Fady Samy Event Developers Qatar,site:linkedin.com/in Gasser Elagaimy Event Developers Qatar,,,,
Ahmad Obaidat,,Unihance,Jordan,site:linkedin.com/in Ahmad Obaidat Unihance Jordan,,https://jo.linkedin.com/in/ahmad-obaidat-92665265,,,
Nafsika Skourti,Stephanie Skourti,Nafsika Skourti,Jordan,site:linkedin.com/in Nafsika Skourti Nafsika Skourti Jordan,site:linkedin.com/in Stephanie Skourti Nafsika Skourti Jordan,,https://ae.linkedin.com/in/stephanie-skourti-85a27681,,
Shatha Badawi,,Applied Innovation Institute (AInI),Jordan,site:linkedin.com/in Shatha Badawi Applied Innovation Institute (AInI) Jordan,,,,,
Bader Al-Hosban,,Blink Ultimate Delivery,Jordan,site:linkedin.com/in Bader Al-Hosban Blink Ultimate Delivery Jordan,,,,,
Paul Yatim,,Grey Imp,Lebanon,site:linkedin.com/in Paul Yatim Grey Imp Lebanon,,,,,
Hamad Al Fahad,,Wowcall,Bahrain,site:linkedin.com/in Hamad Al Fahad Wowcall Bahrain,,https://bh.linkedin.com/in/hamad-alfahad,,,
Karl Abouzeid,Ziad Jureidini,SQWIRL,Lebanon,site:linkedin.com/in Karl Abouzeid SQWIRL Lebanon,site:linkedin.com/in Ziad Jureidini SQWIRL Lebanon,,https://cy.linkedin.com/in/iamdemetrios,,
Ibrahim Manna,,Wheels Express,Jordan,site:linkedin.com/in Ibrahim Manna Wheels Express Jordan,,,,,
Hanan Khader,Malik Al-Barghouthi,AQAR-ESTATE,Jordan,site:linkedin.com/in Hanan Khader AQAR-ESTATE Jordan,site:linkedin.com/in Malik Al-Barghouthi AQAR-ESTATE Jordan,https://sa.linkedin.com/in/hanankhader,,,
Hussein AL-NATSHEH,,Ciapple,Jordan,site:linkedin.com/in Hussein AL-NATSHEH Ciapple Jordan,,https://ae.linkedin.com/in/natsheh,,,
Nada Hanieh,Wahid Essale,SitatByoot.com,Jordan,site:linkedin.com/in Nada Hanieh SitatByoot.com Jordan,site:linkedin.com/in Wahid Essale SitatByoot.com Jordan,,,,
Ahmed Ayadi,,Book&Boat,Tunisia,site:linkedin.com/in Ahmed Ayadi Book&Boat Tunisia,,,,,
Arz Nader,Lebnan Nader,Game Cooks,Lebanon,site:linkedin.com/in Arz Nader Game Cooks Lebanon,site:linkedin.com/in Lebnan Nader Game Cooks Lebanon,https://lb.linkedin.com/in/arz-nader-6388925a,,,
Samer Abdin,Sami Shalabi,Istikana,Jordan,site:linkedin.com/in Samer Abdin Istikana Jordan,site:linkedin.com/in Sami Shalabi Istikana Jordan,,https://www.linkedin.com/in/sshalabi,,
Josée Mallah,,Aquatricity,Lebanon,site:linkedin.com/in Josée Mallah Aquatricity Lebanon,,,,,
Ibtissem Letaief,Yassine Ferjani,ALGOS Medical,Tunisia,site:linkedin.com/in Ibtissem Letaief ALGOS Medical Tunisia,site:linkedin.com/in Yassine Ferjani ALGOS Medical Tunisia,https://tn.linkedin.com/in/ibtissem-letaief-74467597,,,
Samer Tarazi,,Eila,Jordan,site:linkedin.com/in Samer Tarazi Eila Jordan,,,,,
Ihab Salha,,Personafier SAL,Lebanon,site:linkedin.com/in Ihab Salha Personafier SAL Lebanon,,https://nl.linkedin.com/in/ihabsalha/en,,,
Amer Eid,,Parkr,Lebanon,site:linkedin.com/in Amer Eid Parkr Lebanon,,https://www.linkedin.com/in/tinaeid,,,
Mohamed Al Amine,,SawaNsafer,Lebanon,site:linkedin.com/in Mohamed Al Amine SawaNsafer Lebanon,,https://lb.linkedin.com/in/mhalamine,,,
Sama'n Hamam,,Gweet,Jordan,site:linkedin.com/in Sama'n Hamam Gweet Jordan,,,,,
Ali Koubaissy,Karim Muhtar,Presella,Lebanon,site:linkedin.com/in Ali Koubaissy Presella Lebanon,site:linkedin.com/in Karim Muhtar Presella Lebanon,,,,
Yahya Bahsoun,,AutoYaba,Lebanon,site:linkedin.com/in Yahya Bahsoun AutoYaba Lebanon,,,,,
Razan Al Shehabi,,Sprouting Journey,Bahrain,site:linkedin.com/in Razan Al Shehabi Sprouting Journey Bahrain,,https://bh.linkedin.com/in/razan-al-shehabi,,,
Sabri Hakim,Zeid Koudsi,Talasim,Jordan,site:linkedin.com/in Sabri Hakim Talasim Jordan,site:linkedin.com/in Zeid Koudsi Talasim Jordan,https://jo.linkedin.com/in/sabrihakim,,,
Noura Sa'd,,Tadreesna,Jordan,site:linkedin.com/in Noura Sa'd Tadreesna Jordan,,,,,
Ghaith Yafi,Tourism,ScoopCity,Lebanon,site:linkedin.com/in Ghaith Yafi ScoopCity Lebanon,site:linkedin.com/in Tourism ScoopCity Lebanon,,https://lb.linkedin.com/in/mohannad-el-diab-b5266a65,,
Ghanim Zoghbi,Yara El Hani,Grappem,Lebanon,site:linkedin.com/in Ghanim Zoghbi Grappem Lebanon,site:linkedin.com/in Yara El Hani Grappem Lebanon,https://de.linkedin.com/in/ghanim-zoghbi,,,
Ghinwa Zeenni,,Interior Adviser,Lebanon,site:linkedin.com/in Ghinwa Zeenni Interior Adviser Lebanon,,https://uk.linkedin.com/in/joybrax,,,
Ziad Barouni,,Snackable News,Jordan,site:linkedin.com/in Ziad Barouni Snackable News Jordan,,,,,
Ziad Feghali,,Living Book,Lebanon,site:linkedin.com/in Ziad Feghali Living Book Lebanon,,https://www.linkedin.com/in/timothydecker,,,
Loay Malahmeh,Rakan Khamash,3Dmena,Jordan,site:linkedin.com/in Loay Malahmeh 3Dmena Jordan,site:linkedin.com/in Rakan Khamash 3Dmena Jordan,https://uk.linkedin.com/in/loaymalahmeh,,,
Badea Jaber,Ruba Abdulhadi,Elmuda,Jordan,site:linkedin.com/in Badea Jaber Elmuda Jordan,site:linkedin.com/in Ruba Abdulhadi Elmuda Jordan,https://jo.linkedin.com/in/badeajaber,,,
Mohammad Turki,Rola Fayyad,MICEit.co,Jordan,site:linkedin.com/in Mohammad Turki MICEit.co Jordan,site:linkedin.com/in Rola Fayyad MICEit.co Jordan,https://au.linkedin.com/in/rolafayyad,,,
Eliane Cubeisy,Jida Sunna,Ahaali,Jordan,site:linkedin.com/in Eliane Cubeisy Ahaali Jordan,site:linkedin.com/in Jida Sunna Ahaali Jordan,,,,
Ewald Bos,Thomas Adner,Disrupt CK,Tunisia,site:linkedin.com/in Ewald Bos Disrupt CK Tunisia,site:linkedin.com/in Thomas Adner Disrupt CK Tunisia,,,,
Sam Jarrar,,Sallaty For Technology,Jordan,site:linkedin.com/in Sam Jarrar Sallaty For Technology Jordan,,https://pg.linkedin.com/in/samuel%E5%B7%B4%E5%B8%83%E4%BA%9A%E6%96%B0-cayabyab-03030ba0,,,
Maha Khatib,,Maktabee,Jordan,site:linkedin.com/in Maha Khatib Maktabee Jordan,,https://ca.linkedin.com/in/maha-el-khatib-87b94911a,,,
Ibrahim Ashqar,Tudor Boiangiu,Lumi AI,United States,site:linkedin.com/in Ibrahim Ashqar Lumi AI United States,site:linkedin.com/in Tudor Boiangiu Lumi AI United States,https://ca.linkedin.com/in/ibrahimashqar,,,
Antonio Moratilla,David Llorente,Narrativa,United States,site:linkedin.com/in Antonio Moratilla Narrativa United States,site:linkedin.com/in David Llorente Narrativa United States,https://es.linkedin.com/in/alessandrozappia,,,
Grzegorz Gracz,Michał Tokarski,Digital First AI,United States,site:linkedin.com/in Grzegorz Gracz Digital First AI United States,site:linkedin.com/in Michał Tokarski Digital First AI United States,https://bg.linkedin.com/in/pavlinamarinova,,,
Jawad Shreim,,MilkStraw AI,United States,site:linkedin.com/in Jawad Shreim MilkStraw AI United States,,https://www.linkedin.com/in/naman-singhal-a8226b120,,,
Attila Algan,Mete Bayrak,Cognitiwe,Estonia,site:linkedin.com/in Attila Algan Cognitiwe Estonia,site:linkedin.com/in Mete Bayrak Cognitiwe Estonia,https://tr.linkedin.com/in/serkan-g%C3%BCre-33525848,,,
Nadim Habr,,Designhubz,United States,site:linkedin.com/in Nadim Habr Designhubz United States,,,,,
Omar Koudsi,,Arab Therapy,Germany,site:linkedin.com/in Omar Koudsi Arab Therapy Germany,,https://www.linkedin.com/in/mahmoud-taher-58b98419b/,,,
Marina Solovyeva,,Diagnio,United States,site:linkedin.com/in Marina Solovyeva Diagnio United States,,,,,
Ahmed Chaari,David Nilsson,Anavid,France,site:linkedin.com/in Ahmed Chaari Anavid France,site:linkedin.com/in David Nilsson Anavid France,https://fr.linkedin.com/in/dr-ahmed-chaari,,,
Maurice Karam,Wassim Berro,Burger Index,Spain,site:linkedin.com/in Maurice Karam Burger Index Spain,site:linkedin.com/in Wassim Berro Burger Index Spain,https://es.linkedin.com/in/maurice-karam,,,
Emre Ekmekci,Meric Ekmekci,Fundomundo,United States,site:linkedin.com/in Emre Ekmekci Fundomundo United States,site:linkedin.com/in Meric Ekmekci Fundomundo United States,https://www.linkedin.com/in/ruyaekmekci,,,
Sam Dolbel,Sam Matthews,SINC,United States,site:linkedin.com/in Sam Dolbel SINC United States,site:linkedin.com/in Sam Matthews SINC United States,https://www.linkedin.com/in/samdolbel,,,
Mohamed Hatem Abdallah,,Docspert Health,United Kingdom,site:linkedin.com/in Mohamed Hatem Abdallah Docspert Health United Kingdom,,https://rs.linkedin.com/in/hamza-mohamed-114b4b138,,,
John McGowan,,Unicorn Magic,Ireland,site:linkedin.com/in John McGowan Unicorn Magic Ireland,,https://ie.linkedin.com/in/john-mcgowan-1bb374104,,,
Sherif Ali,,Funnelll,United States,site:linkedin.com/in Sherif Ali Funnelll United States,,https://de.linkedin.com/in/sherifaly,,,
Abdulhamid Hassan,Cossi Achille Arouko,Hyphen,France,site:linkedin.com/in Abdulhamid Hassan Hyphen France,site:linkedin.com/in Cossi Achille Arouko Hyphen France,https://ng.linkedin.com/in/abdullahi-olaniyi-895686178,,,
Bassem Nassif,,notchnco,United States,site:linkedin.com/in Bassem Nassif notchnco United States,,,,,
yazan Al-Qasem,,iPass,United States,site:linkedin.com/in yazan Al-Qasem iPass United States,,,,,
Andrei Apanasik,Margarita Belorukova,Unnyhog,United States,site:linkedin.com/in Andrei Apanasik Unnyhog United States,site:linkedin.com/in Margarita Belorukova Unnyhog United States,https://cy.linkedin.com/in/andreyapanasik,,,
Geoffrey Umer,Slim Ben Nasrallah,Seemba,France,site:linkedin.com/in Geoffrey Umer Seemba France,site:linkedin.com/in Slim Ben Nasrallah Seemba France,https://www.linkedin.com/in/umar-siddiqui-11162017,,,
Ehthisham Tk,Muhammed Migdad,Foaps,India,site:linkedin.com/in Ehthisham Tk Foaps India,site:linkedin.com/in Muhammed Migdad Foaps India,https://in.linkedin.com/in/ehthisham,,,
Miša Lazović,,Kredium,United States,site:linkedin.com/in Miša Lazović Kredium United States,,,,,
Abedel-rahim Hilal,Rashid Haddadin,GamerG,United States,site:linkedin.com/in Abedel-rahim Hilal GamerG United States,site:linkedin.com/in Rashid Haddadin GamerG United States,https://ae.linkedin.com/in/dr-sunil-gupta-48aa20/ar,,,
Chris Kirby,Matthew Potts,Tomorrow's Journey,United Kingdom,site:linkedin.com/in Chris Kirby Tomorrow's Journey United Kingdom,site:linkedin.com/in Matthew Potts Tomorrow's Journey United Kingdom,https://uk.linkedin.com/in/chris-kirby-587a6520,,,
Diala Khashan,,Vatrin,Palestinian Territory,site:linkedin.com/in Diala Khashan Vatrin Palestinian Territory,,https://www.linkedin.com/in/diala-khashan/,,,
Bader Alkazemi,,OptimizeApp,United Kingdom,site:linkedin.com/in Bader Alkazemi OptimizeApp United Kingdom,,https://uk.linkedin.com/in/kacper-brzezniak-9262b2216,,,
Aljosa Zidan,Marko Balazic,Pablu,Slovenia,site:linkedin.com/in Aljosa Zidan Pablu Slovenia,site:linkedin.com/in Marko Balazic Pablu Slovenia,,https://si.linkedin.com/in/markobalazic,,
Mohamed Alborno,,Crowdswap,United States,site:linkedin.com/in Mohamed Alborno Crowdswap United States,,,,,
Avo Manjerian,,Schedex,United States,site:linkedin.com/in Avo Manjerian Schedex United States,,https://www.linkedin.com/in/markphilibosian,,,
Jeroen Seghers,Joe Mifsud,Upnext,United States,site:linkedin.com/in Jeroen Seghers Upnext United States,site:linkedin.com/in Joe Mifsud Upnext United States,https://www.linkedin.com/in/jim-cusick-9248a6,,,
na na,na na,Mywave,,site:linkedin.com/in na na Mywave nan,site:linkedin.com/in na na Mywave nan,,,,
Howard Kingston,,Frontier Academy,,site:linkedin.com/in Howard Kingston Frontier Academy nan,,,,,
Abimanyu Nair,Jibin Jose,Flip Technologies,United States,site:linkedin.com/in Abimanyu Nair Flip Technologies United States,site:linkedin.com/in Jibin Jose Flip Technologies United States,https://www.linkedin.com/in/sara-khalaf,,,
Bobby Quinn,Cody Christian,Paypixl,United States,site:linkedin.com/in Bobby Quinn Paypixl United States,site:linkedin.com/in Cody Christian Paypixl United States,https://www.linkedin.com/in/bobbyaquinn,,,
Attila Bajari,,Paddlemate,Hungary,site:linkedin.com/in Attila Bajari Paddlemate Hungary,,https://hu.linkedin.com/in/attilabajari,,,
Eduard Bolmosov,,MESO,Russian Federation,site:linkedin.com/in Eduard Bolmosov MESO Russian Federation,,,,,
Xing Lin,,Newtap,China,site:linkedin.com/in Xing Lin Newtap China,,https://cn.linkedin.com/in/xin-ying-qiu,,,
Daniel Y. Chung,,TimeTraveler,United States,site:linkedin.com/in Daniel Y. Chung TimeTraveler United States,,https://www.linkedin.com/in/talialidia,,,
Jieling Zhou,,Snoppa Technology,China,site:linkedin.com/in Jieling Zhou Snoppa Technology China,,,,,
Per Valter,Þröstur Sveinsson,Fynoti,Denmark,site:linkedin.com/in Per Valter Fynoti Denmark,site:linkedin.com/in Þröstur Sveinsson Fynoti Denmark,https://dk.linkedin.com/in/pervalter,,,
Michael Liguori,,Vognition,United States,site:linkedin.com/in Michael Liguori Vognition United States,,https://www.linkedin.com/in/michaelliguori,,,
Jeanne Tassel,Thibaut Chaumais,C-way,France,site:linkedin.com/in Jeanne Tassel C-way France,site:linkedin.com/in Thibaut Chaumais C-way France,https://fr.linkedin.com/in/jeanne-tassel-1611ba6,,,
Ron Glazer,,Tabor Quantum Solutions,Israel,site:linkedin.com/in Ron Glazer Tabor Quantum Solutions Israel,,https://il.linkedin.com/in/ron-glazer,,,
Mauro Manente,,Remocean,Italy,site:linkedin.com/in Mauro Manente Remocean Italy,,https://it.linkedin.com/in/mmanente,,,
Dean Sarjeant,Ramsay Cole,Tactical Awareness Beacon Systems,United States,site:linkedin.com/in Dean Sarjeant Tactical Awareness Beacon Systems United States,site:linkedin.com/in Ramsay Cole Tactical Awareness Beacon Systems United States,,https://www.linkedin.com/in/rodneybearden,,
Vladimir Elin,,Intersoft Eurasia,Russian Federation,site:linkedin.com/in Vladimir Elin Intersoft Eurasia Russian Federation,,https://ru.linkedin.com/in/elena-usuelli-79a9702b,,,
Csuk Roland,,Cash'o & Butcher,Hungary,site:linkedin.com/in Csuk Roland Cash'o & Butcher Hungary,,,,,
Ralf Becker,,CENTERSONIC,Germany,site:linkedin.com/in Ralf Becker CENTERSONIC Germany,,,,,
Ante Gojsalic,Kristian Kamber,SplxAI,United States,site:linkedin.com/in Ante Gojsalic SplxAI United States,site:linkedin.com/in Kristian Kamber SplxAI United States,https://www.linkedin.com/in/ante-gojsalic-45141b161,,,
Mukesh Bansal,,Nurix AI,India,site:linkedin.com/in Mukesh Bansal Nurix AI India,,https://in.linkedin.com/in/themukeshbansal,,,
Arko Chattopadhyay,Enrique Ferrao,Pipeshift,United States,site:linkedin.com/in Arko Chattopadhyay Pipeshift United States,site:linkedin.com/in Enrique Ferrao Pipeshift United States,https://www.linkedin.com/in/arkoc,,,
Adam Silverman,Alex Reibman,Agency AI,United States,site:linkedin.com/in Adam Silverman Agency AI United States,site:linkedin.com/in Alex Reibman Agency AI United States,https://www.linkedin.com/in/adamsil,,,
Jake Johnson,Milan Bhandari,Bolto,United States,site:linkedin.com/in Jake Johnson Bolto United States,site:linkedin.com/in Milan Bhandari Bolto United States,https://www.linkedin.com/in/jake-johnson-529b57139,,,
Emin Budak,Serkan Leke,Wiro.ai,Turkey,site:linkedin.com/in Emin Budak Wiro.ai Turkey,site:linkedin.com/in Serkan Leke Wiro.ai Turkey,https://tr.linkedin.com/in/eminbudak,,,
Austin Zheng,,Sapient Intelligence,China,site:linkedin.com/in Austin Zheng Sapient Intelligence China,,https://www.linkedin.com/in/austinzhenguwo,,,
Dillery Burciaga,Eduardo Aguirre,Darwin Now,United States,site:linkedin.com/in Dillery Burciaga Darwin Now United States,site:linkedin.com/in Eduardo Aguirre Darwin Now United States,,https://mx.linkedin.com/in/eaad/en,,
Ankur Goyal,Pritam Roy,Fibr,United States,site:linkedin.com/in Ankur Goyal Fibr United States,site:linkedin.com/in Pritam Roy Fibr United States,https://www.linkedin.com/in/ankurgoyal22,,,
Oscar Xing Luo,Robert Huynh,Reforged Labs,United States,site:linkedin.com/in Oscar Xing Luo Reforged Labs United States,site:linkedin.com/in Robert Huynh Reforged Labs United States,https://www.linkedin.com/in/oscarxingluo,,,
Tristan Saunders,Yann Sarfati,Userled,United Kingdom,site:linkedin.com/in Tristan Saunders Userled United Kingdom,site:linkedin.com/in Yann Sarfati Userled United Kingdom,https://uk.linkedin.com/in/tristan-saunders-7a0aa3109,,,
Akash Keshav,Hemant Joshi,Sprih,United States,site:linkedin.com/in Akash Keshav Sprih United States,site:linkedin.com/in Hemant Joshi Sprih United States,https://sg.linkedin.com/in/vijayasingam-thanasekaran,,,
Richard Hoffmann,Thani Shamsi,Monda,United States,site:linkedin.com/in Richard Hoffmann Monda United States,site:linkedin.com/in Thani Shamsi Monda United States,https://www.linkedin.com/in/richhoffmann11,,,
Nick Havryliak,,assisterr,United Kingdom,site:linkedin.com/in Nick Havryliak assisterr United Kingdom,,https://uk.linkedin.com/in/havryliak,,,
Filippo Tartari,Francisco Buendia,Melboss Music,United States,site:linkedin.com/in Filippo Tartari Melboss Music United States,site:linkedin.com/in Francisco Buendia Melboss Music United States,,https://es.linkedin.com/in/fbuendia,,
Atharva Padhye,Himank Jain,getcrux,United States,site:linkedin.com/in Atharva Padhye getcrux United States,site:linkedin.com/in Himank Jain getcrux United States,https://www.linkedin.com/in/atharva-padhye,,,
Enes Witwit,,uiAgent,United States,site:linkedin.com/in Enes Witwit uiAgent United States,,https://www.linkedin.com/in/enes-witwit,,,
Jane Jeong,Valerie Huynh,Reviva,United States,site:linkedin.com/in Jane Jeong Reviva United States,site:linkedin.com/in Valerie Huynh Reviva United States,https://www.linkedin.com/in/janejeong1,,,
Jack Norris,,RapidFire AI,United States,site:linkedin.com/in Jack Norris RapidFire AI United States,,https://www.linkedin.com/in/jandjnorris,,,
Tefari Bailey,,Hutsy,Canada,site:linkedin.com/in Tefari Bailey Hutsy Canada,,https://ca.linkedin.com/in/tefari-bailey-5a6215104,,,
Deniz Özgür,Erdal Çokol,Evercopy,United States,site:linkedin.com/in Deniz Özgür Evercopy United States,site:linkedin.com/in Erdal Çokol Evercopy United States,,,,
Alessio Dalla Piazza,Mattia Dalla Piazza,Equixly API Security,Italy,site:linkedin.com/in Alessio Dalla Piazza Equixly API Security Italy,site:linkedin.com/in Mattia Dalla Piazza Equixly API Security Italy,https://it.linkedin.com/in/alessiodallapiazza,,,
Keccak Wong,Zi Feng,Nectar AI,United States,site:linkedin.com/in Keccak Wong Nectar AI United States,site:linkedin.com/in Zi Feng Nectar AI United States,https://www.linkedin.com/in/keccak-wong-a88367272,,,
Lukas Martinelli,Rob Balian,Reprompt,United States,site:linkedin.com/in Lukas Martinelli Reprompt United States,site:linkedin.com/in Rob Balian Reprompt United States,https://www.linkedin.com/in/lukas-martinelli,,,
Jakub Málek,Milan Málek,PARTORY,Czech Republic,site:linkedin.com/in Jakub Málek PARTORY Czech Republic,site:linkedin.com/in Milan Málek PARTORY Czech Republic,https://cz.linkedin.com/in/malekjakub,,,
Harry Slagel,Lucy Adams,martee ai,United Kingdom,site:linkedin.com/in Harry Slagel martee ai United Kingdom,site:linkedin.com/in Lucy Adams martee ai United Kingdom,https://uk.linkedin.com/in/harryslagel,,,
